ts,symbol,bid,ask
2018-07-01T21:00:00Z,USDCAD,1.31505,1.31541
2018-07-01T21:00:00Z,USDCHF,0.98992,0.99105
2018-07-01T21:00:00Z,USDJPY,110.65,110.702
2018-07-02T21:00:00Z,AUDCAD,0.96725,0.9682
2018-07-02T21:00:00Z,AUDCHF,0.72899,0.72935
2018-07-02T21:00:00Z,AUDJPY,81.362,81.397
2018-07-02T21:00:00Z,AUDNZD,1.09254,1.09308
2018-07-02T21:00:00Z,CADCHF,0.7533,0.7537
2018-07-02T21:00:00Z,EURAUD,1.58573,1.58641
2018-07-02T21:00:00Z,EURCHF,1.15636,1.15659
2018-07-02T21:00:00Z,EURGBP,0.88546,0.88565
2018-07-02T21:00:00Z,EURJPY,129.057,129.077
2018-07-02T21:00:00Z,EURUSD,1.16389,1.16395
2018-07-02T21:00:00Z,GBPCHF,1.30565,1.30616
2018-07-02T21:00:00Z,GBPJPY,145.732,145.769
2018-07-02T21:00:00Z,GBPNZD,1.9569,1.9575
2018-07-02T21:00:00Z,GBPUSD,1.31421,1.31443
2018-07-02T21:00:00Z,NZDCAD,0.88525,0.8858
2018-07-02T21:00:00Z,NZDCHF,0.66715,0.66735
2018-07-02T21:00:00Z,NZDJPY,74.464,74.475
2018-07-02T21:00:00Z,NZDUSD,0.67151,0.67158
2018-07-02T21:00:00Z,USDCAD,1.31843,1.3187
2018-07-02T21:00:00Z,USDCHF,0.9935,0.99367
2018-07-02T21:00:00Z,USDJPY,110.896,110.898
2018-07-03T21:00:00Z,AUDCAD,0.97035,0.97065
2018-07-03T21:00:00Z,AUDCHF,0.73294,0.73319
2018-07-03T21:00:00Z,AUDJPY,81.662,81.708
2018-07-03T21:00:00Z,AUDNZD,1.09317,1.09352
2018-07-03T21:00:00Z,CADCHF,0.7552,0.75555
2018-07-03T21:00:00Z,EURAUD,1.57812,1.57873
2018-07-03T21:00:00Z,EURCHF,1.15696,1.15719
2018-07-03T21:00:00Z,EURGBP,0.88349,0.88377
2018-07-03T21:00:00Z,EURJPY,128.912,129.003
2018-07-03T21:00:00Z,EURUSD,1.16578,1.16596
2018-07-03T21:00:00Z,GBPCHF,1.30911,1.31011
2018-07-03T21:00:00Z,GBPJPY,145.821,145.947
2018-07-03T21:00:00Z,GBPNZD,1.9524,1.95493
2018-07-03T21:00:00Z,GBPUSD,1.31894,1.31982
2018-07-03T21:00:00Z,NZDCAD,0.88745,0.88775
2018-07-03T21:00:00Z,NZDCHF,0.6703,0.6706
2018-07-03T21:00:00Z,NZDJPY,74.682,74.733
2018-07-03T21:00:00Z,NZDUSD,0.67542,0.67557
2018-07-03T21:00:00Z,USDCAD,1.31383,1.31417
2018-07-03T21:00:00Z,USDCHF,0.99238,0.99256
2018-07-03T21:00:00Z,USDJPY,110.573,110.615
2018-07-04T21:00:00Z,AUDCAD,0.97003,0.97115
2018-07-04T21:00:00Z,AUDCHF,0.73262,0.73352
2018-07-04T21:00:00Z,AUDJPY,81.534,81.619
2018-07-04T21:00:00Z,AUDNZD,1.09154,1.09212
2018-07-04T21:00:00Z,CADCHF,0.75505,0.7559
2018-07-04T21:00:00Z,EURAUD,1.5784,1.57933
2018-07-04T21:00:00Z,EURCHF,1.15643,1.15823
2018-07-04T21:00:00Z,EURGBP,0.88093,0.88132
2018-07-04T21:00:00Z,EURJPY,128.75,128.828
2018-07-04T21:00:00Z,EURUSD,1.16555,1.16577
2018-07-04T21:00:00Z,GBPCHF,1.31242,1.31491
2018-07-04T21:00:00Z,GBPJPY,146.122,146.271
2018-07-04T21:00:00Z,GBPNZD,1.9564,1.9578
2018-07-04T21:00:00Z,GBPUSD,1.32264,1.32354
2018-07-04T21:00:00Z,NZDCAD,0.8885,0.88875
2018-07-04T21:00:00Z,NZDCHF,0.6709,0.6715
2018-07-04T21:00:00Z,NZDJPY,74.67,74.741
2018-07-04T21:00:00Z,NZDUSD,0.67613,0.67618
2018-07-04T21:00:00Z,USDCAD,1.3141,1.31458
2018-07-04T21:00:00Z,USDCHF,0.99229,0.99356
